"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"64","#HoCoMD, #HoCoPolice are seeking your help to ID suspect who stole cash and food from  #ColumbiaMD McDonalds on 11/… https://t.co/62RNdumzCo",FALSE,0,NA,2017-11-14 20:31:11,TRUE,NA,"930533592161247232",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",0,FALSE,FALSE,NA,NA
"65","@HoCoGovExec has reached agreement to buy 12-acre site in western #EllicottCityMD in Turf Valley, enabling @HCPSS t… https://t.co/0dl97ipwcC",FALSE,2,"HoCoGovExec",2017-11-14 18:01:35,TRUE,NA,"930495942448558080","3187516635","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",1,FALSE,FALSE,NA,NA
"66","FYI #HoCoMD dog owners. https://t.co/WDUILqnLWM",FALSE,1,NA,2017-11-14 17:46:22,FALSE,NA,"930492112629530625",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",0,FALSE,FALSE,NA,NA
"67","@HoCoGov Commission for Women seeks nominations for outstanding women to be inducted into 2018 Women’s Hall of Fame… https://t.co/IYHHsDT701",FALSE,0,"HoCoGov",2017-11-14 17:14:13,TRUE,NA,"930484024325427200","161698693","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",0,FALSE,FALSE,NA,NA
"68","First of two public wrkshps to discuss the #EllicottCityMD Watershed Master Plan process 2night, 11/14, 6:30 pm at… https://t.co/LMV4hunkC5",FALSE,0,NA,2017-11-14 13:00:05,TRUE,NA,"930420067950612480",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",3,FALSE,FALSE,NA,NA
"69","#safetytip from #HoCoMD https://t.co/1PY2GYPNWl",FALSE,0,NA,2017-11-13 21:25:29,FALSE,NA,"930184870185390080",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",0,FALSE,FALSE,NA,NA
"70","UPDATE from DPW: Water has been restored to the affected area. https://t.co/zoxADFBnGp",FALSE,0,NA,2017-11-13 18:20:22,FALSE,NA,"930138281173495808",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",0,FALSE,FALSE,NA,NA
"71","@HoCoGov DPW reports broken H2O main in 10600 block of Green Mountain Circle, #ColumbiaMD affecting a substantial a… https://t.co/nOsoJQCEU0",FALSE,1,"HoCoGov",2017-11-13 18:13:27,TRUE,NA,"930136540495347712","161698693","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",3,FALSE,FALSE,NA,NA
"72","HOLIDAY CLOSINGS: @HoCoGov offices will be CLOSED 11/23 &amp; 11/24 for #Thanksgiving holiday. No trash/recycle curbsid… https://t.co/1VJXsbJjMN",FALSE,1,NA,2017-11-13 17:00:01,TRUE,NA,"930118061088129024",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",0,FALSE,FALSE,NA,NA
"73","#HoCoMD, #HoCoPolice is warning residents of PHONE SCAM targeting senior citizens. Please be aware. https://t.co/QqjmS6SxDl",FALSE,8,NA,2017-11-13 14:35:02,FALSE,NA,"930081576695689217",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",8,FALSE,FALSE,NA,NA
